Column1,program,NCS직무분류,apply_option,직무코드,업종분류,관련자격증,훈련기간,훈련시간,평균연령대,주관부처,훈련유형,주야구분/주말여부
0,(특화)_스마트팩토리 생산∙물류∙경영정보관리모집마감,공정관리(02040103),공정관리,2040103,3,-,2023-06-12~2023-09-18(1회차),"70일,총560시간",33,울산고용센터,산업구조변화대응,주간/주중
1,(산대특 고용유지)중소기업 사무자동화 실무 기술 향상모집마감,사무행정(02020302),사무행정,2020302,3,-,2023-06-21~2023-07-18(1회차),"20일,총60시간",55,전주고용센터,산업구조변화대응,주간/주중
2,(산대특 이전직)이전직을위한 전기실무자 양성과정모집마감,내선공사(19010701),내선공사,19010701,13,-,2023-05-25~2023-08-22(1회차),"60일,총360시간",49,전주고용센터,산업구조변화대응,주간/주중
3,(산대특 취창업) 고용위기 대응 및 세계화를 위한 한식전문가 양성모집마감,한식조리(13010101),한식조리,13010101,10,-,2023-05-09~2023-08-09(1회차),"60일,총300시간",52,전주고용센터,산업구조변화대응,주간/주중
4,(산대특)총무일반사무원 양성과정_지원대상-취창업모집마감,사무행정(02020302),사무행정,2020302,3,-,2023-06-02~2023-09-07(1회차),"67일,총200시간",43,김해고용,산업구조변화대응,주간/주중
5,(산대특)회계경리사무원양성과정_지원대상-취창업모집마감,회계·감사(02030201),회계·감사,2030201,3,-,2023-04-26~2023-07-14(1회차),"55일,총220시간",38,김해고용,산업구조변화대응,주간/주중
6,(산대특)VR 시뮬레이터 및 실습을 통한 굴착기·지게차 조종 실무자 양성과정모집마감,굴착기운전(14070106),굴착기운전,14070106,10,-,2023-04-26~2023-06-30(1회차),"43일,총300시간",41,대구고용센터,산업구조변화대응,주간/주중
7,(산대특)_스마트 봉제 양성과정_지원대상_취창업모집마감,제직의류생산(18020201),제직의류생산,18020201,8,-,2023-08-22~2024-01-16(1회차),"100일,총600시간",47,김해고용,산업구조변화대응,주간/주중
8,(산대특)취업컨설턴트 실무자양성과정_지원대상-취창업모집마감,직업상담(07020101),직업상담,7020101,3,-,2023-10-11~2023-12-21(1회차),"52일,총260시간",39,김해고용,산업구조변화대응,주간/주중
9,"(특화)_AI 스마트 기계설계[2D,3D,인공지능 제너레이티브]모델링 및 CAD/CAM/CNC 프로그래밍모집마감",기계요소설계(15010201),기계요소설계,15010201,12,-,2023-05-02~2023-10-16(1회차),"111일,총885시간",32,울산고용센터,산업구조변화대응,주간/주중
10,(산대특)_재무․회계 및 ERP정보관리 양성과정_지원대상_취창업모집마감,회계·감사(02030201),회계·감사,2030201,3,-,2023-05-15~2023-09-22(1회차),"86일,총600시간",35,창원고용센터,산업구조변화대응,주간/주중
11,(특화)_조선선박 및 해양플랜트 용접사 양성과정(CO2+TIG)모집마감,CO₂용접(16010502),CO₂용접,16010502,15,-,2023-08-02~2023-11-13(1회차),"80일,총640시간",41,울산고용센터,산업구조변화대응,"주간/주말,주중혼합"
12,(특화)_산업안전관리실무자 양성과정모집마감,전기안전관리(23060102),전기안전관리,23060102,19,-,2023-06-08~2023-10-26(1회차),"90일,총630시간",48,울산고용센터,산업구조변화대응,주간/주중
13,세무회계 및 사무관리 양성과정_지원대상_취창업모집마감,회계·감사(02030201),회계·감사,2030201,3,-,2023-08-09~2023-11-27(1회차),"72일,총360시간",39,진주고용센터,산업구조변화대응,주간/주중
14,(산대특)재무‧회계 및 ERP정보관리 양성과정_지원대상-취창업모집마감,회계·감사(02030201),회계·감사,2030201,3,-,2023-07-12~2023-11-24(1회차),"86일,총600시간",-,창원고용센터,산업구조변화대응,"■전액무료과정[산업구조변화특화훈련]+훈련장려금:월최대116,000원○회계/세무만하신다구요~ERP/OA까지다배워보세요~취업문이활짝~~~피어납니다~^^회계,총무,일반사무원,제조업경리사무원으로취업을준비하는분들에게추천드리며▶전산세무2급,전산회계2/1급,ERP물류/생산/인사,OA◀등의자격증을한번에취득가능하실수있도록교육이진행됩니다.○문의사항:""055-245-1666""또는카톡채널""동양직업전문학교"""
15,(특화)_스마트캐드 설계 (PLANT 3D/P&ID/ISO설계/2D 3D CAD/기계장치)모집마감,선박배관설계(15080103),선박배관설계,15080103,12,-,2023-05-09~2023-08-03(1회차),"60일,총360시간",27,울산고용센터,산업구조변화대응,주간/주중
16,(특화)_스마트선박용접 및 열원장치 시설유지관리자 양성과정(용접+공조냉동+에너지+배관자격증)모집마감,피복아크용접(16010501),피복아크용접,16010501,15,-,2023-12-26~2024-02-08(1회차),"32일,총230시간",45,울산고용센터,산업구조변화대응,주간/주중
17,(산대특)쇼핑몰 구축 및 통합관리 솔루션 인력 양성과정모집마감,전자상거래(10030102),전자상거래,10030102,4,-,2023-08-01~2023-10-31(1회차),"60일,총300시간",43,대구고용센터,산업구조변화대응,주간/주중
18,"(산대특)컴퓨터그래픽스(포토,일러,인디자인) & 웹디자인 인재양성과정_지원대상-취창업모집마감",시각디자인(08020101),시각디자인,8020101,2,-,2023-06-08~2023-10-26(1회차),"94일,총650시간",29,창원고용센터,산업구조변화대응,주간/주중
19,(산대특)e-커머스 스마트 웹 실무자 양성과정모집마감,전자상거래(10030102),전자상거래,10030102,4,-,2023-06-15~2023-09-15(1회차),"65일,총450시간",40,대구고용센터,산업구조변화대응,주간/주중
20,(산대특)전기소방실무자과정_양성과정_지원대상_취·창업모집마감,내선공사(19010701),내선공사,19010701,13,-,2023-06-24~2023-09-23(1회차),"25일,총200시간",53,창원고용센터,산업구조변화대응,주간/주말
21,(산대특)_굴착기 숙련기능사 양성과정_지원대상-취창업모집마감,굴착기운전(14070106),굴착기운전,14070106,1,-,2023-05-15~2023-08-31(1회차),"75일,총450시간",49,창원고용센터,산업구조변화대응,주간/주중
22,"지역인재 육성을 위한 IaaS기반 JAVA백앤드개발자(자바,스프링,AWS)양성과정모집마감",응용SW엔지니어링(20010202),응용SW엔지니어링,20010202,18,-,2023-07-13~2023-12-27(1회차),"113일,총900시간",25,대전고용센터,산업구조변화대응,주간/주중
23,(특화)_전기·소방실무자 양성과정 <스마트그리드 전기기사+소방전기기사>모집마감,송변전배전설비운영(19010302),송변전배전설비운영,19010302,13,-,2023-05-01~2023-08-31(1회차),"84일,총300시간",32,울산고용센터,산업구조변화대응,야간/주중
24,(산대특)시스템 엔지니어와 풀스택 개발자 양성모집마감,응용SW엔지니어링(20010202),응용SW엔지니어링,20010202,18,-,2023-08-18~2024-02-14(1회차),"120일,총960시간",29,대구고용센터,산업구조변화대응,주간/주중
25,(산대특)VR 및 실무를 통한 고용위기 근로자 굴착기 운전 취업지원 향상과정모집마감,굴착기운전(14070106),굴착기운전,14070106,1,-,2023-05-16~2023-06-29(1회차),"25일,총75시간",52,대구고용센터,산업구조변화대응,야간/주중
26,"(산대특)시각디자인(포토, 일러) & 웹퍼블리셔 양성과정_지원대상_취창업모집마감",디자인(080201),디자인,80201,2,-,2023-04-27~2023-09-13(1회차),"86일,총600시간",25,창원고용센터,산업구조변화대응,주간/주중
27,(산대특)고용위기 종사자를 위한 자동차 정비 및 점검 실무 향상과정모집마감,자동차엔진정비(15060302),자동차엔진정비,15060302,12,-,2023-06-14~2023-07-24(1회차),"34일,총117시간",32,대구고용센터,산업구조변화대응,"야간/주말,주중혼합"
28,(산대특)VR 및 실무를 통한 고용위기 근로자 지게차 운전 취업지원 향상과정모집마감,지게차운전(14070401),지게차운전,14070401,1,-,2023-05-04~2023-06-09(1회차),"20일,총60시간",38,대구고용센터,산업구조변화대응,야간/주중
29,"친환경자동차(전기,수소) 융합 실무자 양성과정모집마감",자동차정비(150603),자동차정비,150603,12,-,2023-05-01~2023-12-22(1회차),"159일,총1100시간",32,대전고용센터,산업구조변화대응,주간/주중
30,(특화)_디지털 사무원 양성과정 (업무자동화_웹크롤링_엑셀_파이썬)모집마감,응용SW엔지니어링(20010202),응용SW엔지니어링,20010202,18,-,2023-05-09~2023-06-08(1회차),"20일,총120시간",25,울산고용센터,산업구조변화대응,주간/주중
31,[산대특 취·창업]데이터 융합 자바(JAVA)+스프링(Spring) & 파이썬 개발자 양성과정모집중,응용SW엔지니어링(20010202),응용SW엔지니어링,20010202,18,-,2024-03-04~2024-09-23(1회차),"138일,총900시간",27,전주고용센터,산업구조변화대응,주간/주중
32,(산대특)_특수용접실무(TIG+CO2) 향상과정_육성산업-역량개발모집마감,가스텅스텐아크용접(16010503),가스텅스텐아크용접,16010503,15,-,2023-05-14~2023-08-06(1회차),"11일,총88시간",45,김해고용,산업구조변화대응,주간/주말
33,AWS기반 지능형 클라우드 서비스 전문가 양성과정모집마감,인프라스트럭쳐아키텍처구축(20010213),인프라스트럭쳐아키텍처구축,20010213,18,-,2023-05-08~2023-11-03(1회차),"120일,총840시간",25,대전고용센터,산업구조변화대응,주간/주중
34,Github 활용 프로그래밍개발자 향상과정모집마감,응용SW엔지니어링(20010202),응용SW엔지니어링,20010202,18,-,2023-04-18~2023-04-27(1회차),"8일,총39시간",28,대전고용센터,산업구조변화대응,주간/주중
35,신형지게차 관리 및 점검 향상과정_고용유지모집마감,지게차운전(14070401),지게차운전,14070401,1,-,2023-06-13~2023-07-10(1회차),"20일,총60시간",36,순천고용센터,산업구조변화대응,야간/주중
36,산대특) 굴착기 자격·실무·신장비관리 향상과정 _ 고용유지모집마감,굴착기운전(14070106),굴착기운전,14070106,1,-,2023-06-13~2023-07-03(1회차),"15일,총60시간",40,순천고용센터,산업구조변화대응,주간/주중
37,(산대특)기중기 운전 및 정비·점검 주말반 향상과정_고용유지모집마감,기중기운전(14070501),기중기운전,14070501,1,-,2023-05-20~2023-06-25(1회차),"10일,총80시간",49,순천고용센터,산업구조변화대응,주간/주말
38,(산대특)산업변화에 따른 사무행정 총괄 담당자 양성_취창업 특례모집마감,사무행정(02020302),사무행정,2020302,3,-,2023-06-05~2023-08-14(1회차),"40일,총160시간",42,광주고용센터,산업구조변화대응,주간/주중
39,"(산대특)제빵,디저트실무향상과정_고용유지(특례)모집마감",제과(21020101),제과,21020101,10,-,2023-05-22~2023-07-04(1회차),"30일,총120시간",42,광주고용센터,산업구조변화대응,주간/주중
40,건설시공 및 산업건설기계 분야 취/창업을 위한 지게차운전 기능인력 양성과정모집마감,지게차운전(14070401),지게차운전,14070401,1,-,2023-07-10~2023-08-29(1회차),"35일,총210시간",37,목포고용센터,산업구조변화대응,주간/주중
41,건설시공 및 산업건설기계분야 취/창업을 위한 굴착기운전 기능인력 양성과정모집마감,굴착기운전(14070106),굴착기운전,14070106,1,-,2023-07-10~2023-08-29(1회차),"35일,총210시간",42,목포고용센터,산업구조변화대응,주간/주중
42,[산대특] 산업재해 안전관리를 통한 굴착기·지게차 향상과정_고용유지모집마감,굴착기운전(14070106),굴착기운전,14070106,1,-,2023-04-28~2023-06-14(1회차),"30일,총90시간",44,순천고용센터,산업구조변화대응,야간/주중
43,[산대특] 산업재해 안전관리를 통한 굴착기·지게차 취업지원 양성과정_전직 및 취창업모집마감,굴착기운전(14070106),굴착기운전,14070106,1,-,2023-04-24~2023-06-14(1회차),"35일,총210시간",40,순천고용센터,산업구조변화대응,주간/주중
44,경영지원을 위한 사무행정실무자양성 과정_전직 및 취·창업모집마감,사무행정(02020302),사무행정,2020302,3,-,2023-05-17~2023-07-11(1회차),"38일,총150시간",30,순천고용센터,산업구조변화대응,주간/주중
45,(산대특) 로컬 베이커리&카페 디저트 실무자 양성_전직 및 취·창업모집마감,제빵(21020102),제빵,21020102,10,-,2023-07-17~2023-10-13(1회차),"55일,총220시간",46,목포고용센터,산업구조변화대응,주간/주중
46,(산대특) 리오프닝 소규모 카페 창업 과정_취·창업모집마감,커피관리(13010203),커피관리,13010203,10,-,2023-05-23~2023-08-22(1회차),"60일,총240시간",46,목포고용센터,산업구조변화대응,주간/주중
